"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Enteroscape_v4.1.nlogo"
"parameter sweep (Beneficial-Microbe-molecule-secretion-rate)"
"01/08/2025 08:40:59:365 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker","g-pharynx-inflammation"
"172","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2664","791","2665","2","30"
"168","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3122","860","3123","2","29"
"162","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3313","933","3314","2","36"
"166","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3369","837","3370","2","30"
"164","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3702","974","3703","1","30"
"176","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2018","584","2019","2","26"
"170","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3934","944","3935","2","30"
"177","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","1938","644","1939","1","28"
"171","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","4613","934","4614","2","24"
"173","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3532","912","3533","2","33"
"174","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3379","931","3380","2","38"
"167","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","4253","992","4254","2","25"
"160","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3863","1027","3864","1","27"
"183","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","1918","621","1919","2","24"
"188","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","673","342","674","1","7"
"175","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3452","842","3453","2","27"
"181","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2805","734","2806","2","30"
"186","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2118","665","2119","2","25"
"178","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3432","914","3433","2","31"
"182","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","4227","789","4228","2","20"
"179","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3962","869","3963","2","28"
"184","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3958","888","3959","2","24"
"180","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3896","942","3897","2","37"
"185","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","4223","955","4224","2","23"
"192","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3324","782","3325","2","30"
"195","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","1906","668","1907","1","29"
"193","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3663","767","3664","2","20"
"189","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3966","884","3967","2","29"
"201","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","962","408","963","1","13"
"199","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","1641","605","1642","1","21"
"187","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3717","975","3718","2","36"
"191","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3440","879","3441","2","31"
"197","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2313","710","2314","2","28"
"202","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","1735","506","1736","1","16"
"200","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2412","694","2413","1","25"
"194","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3660","796","3661","2","26"
"209","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","1353","490","1354","1","21"
"206","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","1604","524","1605","1","23"
"196","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","2949","784","2950","2","27"
"208","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","1990","590","1991","2","22"
"190","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","3546","852","3547","2","29"
"210","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","1626","504","1627","2","15"
"212","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","1392","488","1393","2","21"
"205","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","2871","697","2872","1","24"
"216","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","985","438","986","2","12"
"204","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","3530","752","3531","2","24"
"207","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","2569","689","2570","2","23"
"218","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","1361","470","1362","2","20"
"203","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","4349","809","4350","2","29"
"219","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","2416","566","2417","2","20"
"198","true","0.59","34","53","36","0.04","0.59","34","53","36","0.2","0.2","0.02","4337","944","4338","2","30"
"215","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","3177","716","3178","2","24"
"211","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","2795","716","2796","2","20"
"224","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","1971","563","1972","2","22"
"214","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","3625","764","3626","2","19"
"225","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","1894","527","1895","1","22"
"217","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","4142","832","4143","2","27"
"222","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","2975","674","2976","2","22"
"223","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","3590","731","3591","2","24"
"230","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","1222","432","1223","2","14"
"221","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","4218","861","4219","2","19"
"234","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","1074","433","1075","1","19"
"213","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","4500","745","4501","2","18"
"231","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","2151","613","2152","1","28"
"226","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","3135","697","3136","2","19"
"227","true","0.59","34","53","36","0.04","0.59","34","53","36","0.3","0.2","0.02","3606","758","3607","2","26"
