"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Enteroscape_v4.1.nlogo"
"parameter sweep (adhesion/deadhesion)"
"12/20/2024 23:23:39:968 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker","g-pharynx-inflammation"
"136","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2264","760","2265","1","40"
"130","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2902","1013","2903","2","42"
"135","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2937","965","2938","1","39"
"144","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2131","711","2132","1","38"
"140","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2776","881","2777","1","41"
"152","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","718","217","719","1","9"
"150","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","1707","566","1708","2","37"
"147","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2658","835","2659","1","39"
"143","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3130","1012","3131","2","42"
"139","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3532","1156","3533","1","43"
"148","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2762","917","2763","1","42"
